name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"App\Twig\TwigFactory",9,7,25.27,2.67,67.38,0.38,0.01,4,9.47,5,4,4,3,2,2,0.22,102.42,64.91,37.52,N/A,N/A,1,0,1,1,0,1,1,6,20,14,N/A,1,1,0,1,0,0,1,2,0.67,N/A,0.04
"App\DataSerie\DataSerie",76,22,338.92,7.35,2492.04,0.14,0.11,138,46.09,26,50,5,17,4,3,0.29,80.47,41.91,38.56,N/A,N/A,1,49,0.9,49.9,490,9,499,32,99,67,N/A,10,4,1,3,6,0,1,4,0.8,N/A,0.04
"App\Command\TrackCommand",191,66,1154.48,7.3,8427.7,0.14,0.38,468,158.15,45,146,6,60,10,6,0.8,65.54,32.68,32.86,N/A,N/A,6,900,0.22,900.22,7200,1.77,7201.77,30,140,110,N/A,8,8,5,3,0,0,1,14,0.93,N/A,0.06
"App\Chart\ChartGenerator",34,23,153.8,1.38,212.39,0.72,0.05,12,111.37,5,29,2,21,1,1,0.15,96.69,60.25,36.44,N/A,N/A,1,4,1,5,4,1,5,5,18,13,N/A,1,1,0,1,0,0,1,1,0.5,N/A,0.04
"App\DataProvider\AbstractXpathReducerProvider",26,11,89.95,3.75,337.29,0.27,0.03,19,23.99,6,20,3,8,3,3,0.45,96.4,58.53,37.87,N/A,N/A,1,4,0.67,4.67,8,1.33,9.33,8,26,18,N/A,2,2,1,1,0,0,2,3,0.6,N/A,0.15
"App\DataProvider\DataProviderInterface",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,1,0,0,N/A,0.37
"App\DataProvider\XpathCountProvider",4,3,6.34,0.75,4.75,1.33,0,0,8.45,1,3,1,2,1,1,0.15,115.53,74.55,40.98,N/A,N/A,1,0,3,3,0,3,3,5,13,8,N/A,1,1,1,0,0,0,0,1,1,N/A,0.03
"App\DataProvider\XpathSumProvider",11,7,30.88,3,92.64,0.33,0.01,5,10.29,3,8,3,4,2,2,0.22,104.67,66.58,38.09,N/A,N/A,1,0,3,3,0,3,3,5,16,11,N/A,1,1,1,0,0,0,0,2,1,N/A,0.03
"App\DataProvider\AbstractXpathProvider",8,4,16,1,16,1,0.01,1,16,2,6,1,3,1,1,0.15,109.41,67.89,41.52,N/A,N/A,2,0,1,1,0,2,2,8,20,12,N/A,2,2,0,2,0,0,2,1,0.33,N/A,0.16
"App\DataProvider\XpathProvider",22,10,73.08,3.43,250.57,0.29,0.02,14,21.32,6,16,3,7,3,3,0.29,87.94,59.71,28.23,N/A,N/A,1,1,0.5,1.5,1,0.5,1.5,3,20,17,N/A,1,1,0,1,0,0,0,3,1,N/A,0.03
"App\Configuration\Configuration",61,23,275.94,7.59,2093.88,0.13,0.09,116,36.36,18,43,6,17,12,9,0.8,75,46.59,28.41,N/A,N/A,2,4,0.67,4.67,8,1.33,9.33,7,46,39,N/A,2,2,0,2,0,0,1,2,0.67,N/A,0.04
